episode,reward,moving_avg_50
780,3.0,3.2
781,3.0,3.22
782,2.0,3.2
783,4.0,3.2
784,2.0,3.16
785,3.0,3.18
786,1.0,3.1
787,5.0,3.16
788,4.0,3.2
789,-1.0,3.1
790,1.0,3.04
791,3.0,3.04
792,5.0,3.08
793,2.0,3.06
794,5.0,3.08
795,3.0,3.1
796,3.0,3.08
797,1.0,3.0
798,2.0,2.92
799,0.0,2.92
800,5.0,2.96
801,5.0,2.94
802,0.0,2.9
803,5.0,2.92
804,3.0,2.86
805,4.0,2.88
806,4.0,2.84
807,2.0,2.86
808,2.0,2.86
809,3.0,2.86
810,4.0,2.86
811,5.0,2.86
812,3.0,2.9
813,3.0,2.94
814,4.0,2.94
815,3.0,2.96
816,4.0,3.0
817,6.0,3.08
818,3.0,3.1
819,2.0,3.08
820,4.0,3.12
821,4.0,3.12
822,0.0,3.06
823,1.0,3.04
824,2.0,2.98
825,2.0,2.94
826,2.0,2.92
827,2.0,2.86
828,2.0,2.82
829,5.0,2.9
830,3.0,2.9
831,-0.5,2.83
832,5.0,2.89
833,3.0,2.87
834,1.0,2.85
835,1.0,2.81
836,2.0,2.83
837,4.0,2.81
838,4.0,2.81
839,2.0,2.87
840,4.0,2.93
841,5.0,2.97
842,0.0,2.87
843,5.0,2.93
844,2.0,2.87
845,2.0,2.85
846,6.0,2.91
847,4.0,2.97
848,4.0,3.01
849,4.0,3.09
850,2.0,3.03
851,-2.5,2.88
852,2.0,2.92
853,4.0,2.9
854,-0.5,2.83
855,-0.5,2.74
856,4.0,2.74
857,4.0,2.78
858,4.0,2.82
859,1.0,2.78
860,2.0,2.74
861,5.0,2.74
862,6.0,2.8
863,2.0,2.78
864,2.0,2.74
865,3.0,2.74
866,-1.0,2.64
867,2.0,2.56
868,5.0,2.6
869,3.0,2.62
870,5.0,2.64
871,2.0,2.6
872,3.0,2.66
873,3.0,2.7
874,2.0,2.7
875,1.0,2.68
876,4.0,2.72
877,-2.0,2.64
878,1.0,2.62
879,0.0,2.52
880,6.0,2.58
881,2.0,2.63
882,2.0,2.57
883,4.0,2.59
884,2.0,2.61
885,2.0,2.63
886,2.0,2.63
887,1.0,2.57
888,5.0,2.59
889,4.0,2.63
890,4.0,2.63
891,0.0,2.53
892,2.0,2.57
893,3.0,2.53
894,5.0,2.59
895,3.0,2.61
896,2.0,2.53
897,2.0,2.49
898,4.0,2.49
899,2.0,2.45
900,3.0,2.47
901,3.0,2.58
902,3.0,2.6
903,4.0,2.6
904,0.0,2.61
905,2.0,2.66
906,3.0,2.64
907,3.0,2.62
908,2.0,2.58
909,5.0,2.66
910,1.0,2.64
911,3.0,2.6
912,3.0,2.54
913,1.0,2.52
914,6.0,2.6
915,1.0,2.56
916,0.0,2.58
917,4.0,2.62
918,4.0,2.6
919,0.0,2.54
920,3.0,2.5
921,1.0,2.48
922,2.0,2.46
923,4.0,2.48
924,1.0,2.46
925,3.0,2.5
926,4.0,2.5
927,4.0,2.62
928,3.0,2.66
929,2.0,2.7
930,4.0,2.66
931,3.0,2.68
932,4.0,2.72
933,5.0,2.74
934,1.0,2.72
935,1.0,2.7
936,5.0,2.76
937,0.0,2.74
938,-2.5,2.59
939,4.0,2.59
940,0.0,2.51
941,5.0,2.61
942,4.0,2.65
943,4.0,2.67
944,3.0,2.63
945,-0.5,2.56
946,-1.5,2.49
947,3.0,2.51
948,1.0,2.45
949,2.0,2.45
950,2.0,2.43
951,5.0,2.47
952,2.0,2.45
953,5.0,2.47
954,3.0,2.53
955,6.0,2.61
956,4.0,2.63
957,4.0,2.65
958,2.0,2.65
